sample-id	absolute-filepath
12858.11TB.81.R1	/mnt/datasets/project_2/hiseas/seqs/12858.11TB.81.R1.fastq.gz
12858.12BR.56.R1	/mnt/datasets/project_2/hiseas/seqs/12858.12BR.56.R1.fastq.gz
12858.12KC.55.R1	/mnt/datasets/project_2/hiseas/seqs/12858.12KC.55.R1.fastq.gz
12858.12MR.57.R1	/mnt/datasets/project_2/hiseas/seqs/12858.12MR.57.R1.fastq.gz
12858.12TB.54.R1	/mnt/datasets/project_2/hiseas/seqs/12858.12TB.54.R1.fastq.gz
12858.13BR.60.R1	/mnt/datasets/project_2/hiseas/seqs/12858.13BR.60.R1.fastq.gz
12858.13KC.59.R1	/mnt/datasets/project_2/hiseas/seqs/12858.13KC.59.R1.fastq.gz
12858.13MR.61.R1	/mnt/datasets/project_2/hiseas/seqs/12858.13MR.61.R1.fastq.gz
12858.13TB.58.R1	/mnt/datasets/project_2/hiseas/seqs/12858.13TB.58.R1.fastq.gz
12858.14BR.64.R1	/mnt/datasets/project_2/hiseas/seqs/12858.14BR.64.R1.fastq.gz
12858.14KC.63.R1	/mnt/datasets/project_2/hiseas/seqs/12858.14KC.63.R1.fastq.gz
12858.14MR.65.R1	/mnt/datasets/project_2/hiseas/seqs/12858.14MR.65.R1.fastq.gz
12858.14TB.62.R1	/mnt/datasets/project_2/hiseas/seqs/12858.14TB.62.R1.fastq.gz
12858.15BR.68.R1	/mnt/datasets/project_2/hiseas/seqs/12858.15BR.68.R1.fastq.gz
12858.15KC.67.R1	/mnt/datasets/project_2/hiseas/seqs/12858.15KC.67.R1.fastq.gz
12858.15MR.69.R1	/mnt/datasets/project_2/hiseas/seqs/12858.15MR.69.R1.fastq.gz
12858.15TB.66.R1	/mnt/datasets/project_2/hiseas/seqs/12858.15TB.66.R1.fastq.gz
12858.16BR.72.R1	/mnt/datasets/project_2/hiseas/seqs/12858.16BR.72.R1.fastq.gz
12858.16KC.71.R1	/mnt/datasets/project_2/hiseas/seqs/12858.16KC.71.R1.fastq.gz
12858.16MR.73.R1	/mnt/datasets/project_2/hiseas/seqs/12858.16MR.73.R1.fastq.gz
12858.16TB.70.R1	/mnt/datasets/project_2/hiseas/seqs/12858.16TB.70.R1.fastq.gz
12858.17BR.76.R1	/mnt/datasets/project_2/hiseas/seqs/12858.17BR.76.R1.fastq.gz
12858.17KC.75.R1	/mnt/datasets/project_2/hiseas/seqs/12858.17KC.75.R1.fastq.gz
12858.17MR.77.R1	/mnt/datasets/project_2/hiseas/seqs/12858.17MR.77.R1.fastq.gz
12858.17TB.74.R1	/mnt/datasets/project_2/hiseas/seqs/12858.17TB.74.R1.fastq.gz
12858.18BR.82.R1	/mnt/datasets/project_2/hiseas/seqs/12858.18BR.82.R1.fastq.gz
12858.18KC.79.R1	/mnt/datasets/project_2/hiseas/seqs/12858.18KC.79.R1.fastq.gz
12858.18MR.83.R1	/mnt/datasets/project_2/hiseas/seqs/12858.18MR.83.R1.fastq.gz
12858.18TB.78.R1	/mnt/datasets/project_2/hiseas/seqs/12858.18TB.78.R1.fastq.gz
12858.19BR.86.R1	/mnt/datasets/project_2/hiseas/seqs/12858.19BR.86.R1.fastq.gz
12858.19KC.85.R1	/mnt/datasets/project_2/hiseas/seqs/12858.19KC.85.R1.fastq.gz
12858.19MR.87.R1	/mnt/datasets/project_2/hiseas/seqs/12858.19MR.87.R1.fastq.gz
12858.19TB.84.R1	/mnt/datasets/project_2/hiseas/seqs/12858.19TB.84.R1.fastq.gz
12858.1BR.7.R1	/mnt/datasets/project_2/hiseas/seqs/12858.1BR.7.R1.fastq.gz
12858.1KC.6.R1	/mnt/datasets/project_2/hiseas/seqs/12858.1KC.6.R1.fastq.gz
12858.1MR.8.R1	/mnt/datasets/project_2/hiseas/seqs/12858.1MR.8.R1.fastq.gz
12858.1TB.5.R1	/mnt/datasets/project_2/hiseas/seqs/12858.1TB.5.R1.fastq.gz
12858.20BR.90.R1	/mnt/datasets/project_2/hiseas/seqs/12858.20BR.90.R1.fastq.gz
12858.20KC.89.R1	/mnt/datasets/project_2/hiseas/seqs/12858.20KC.89.R1.fastq.gz
12858.20MR.91.R1	/mnt/datasets/project_2/hiseas/seqs/12858.20MR.91.R1.fastq.gz
12858.20TB.88.R1	/mnt/datasets/project_2/hiseas/seqs/12858.20TB.88.R1.fastq.gz
12858.21BR.94.R1	/mnt/datasets/project_2/hiseas/seqs/12858.21BR.94.R1.fastq.gz
12858.21KC.93.R1	/mnt/datasets/project_2/hiseas/seqs/12858.21KC.93.R1.fastq.gz
12858.21MR.95.R1	/mnt/datasets/project_2/hiseas/seqs/12858.21MR.95.R1.fastq.gz
12858.21TB.92.R1	/mnt/datasets/project_2/hiseas/seqs/12858.21TB.92.R1.fastq.gz
12858.22BR.98.R1	/mnt/datasets/project_2/hiseas/seqs/12858.22BR.98.R1.fastq.gz
12858.22KC.97.R1	/mnt/datasets/project_2/hiseas/seqs/12858.22KC.97.R1.fastq.gz
12858.22MR.99.R1	/mnt/datasets/project_2/hiseas/seqs/12858.22MR.99.R1.fastq.gz
12858.22TB.96.R1	/mnt/datasets/project_2/hiseas/seqs/12858.22TB.96.R1.fastq.gz
12858.23BR.102.R1	/mnt/datasets/project_2/hiseas/seqs/12858.23BR.102.R1.fastq.gz
12858.23KC.101.R1	/mnt/datasets/project_2/hiseas/seqs/12858.23KC.101.R1.fastq.gz
12858.23MR.103.R1	/mnt/datasets/project_2/hiseas/seqs/12858.23MR.103.R1.fastq.gz
12858.23TB.100.R1	/mnt/datasets/project_2/hiseas/seqs/12858.23TB.100.R1.fastq.gz
12858.24BR.106.R1	/mnt/datasets/project_2/hiseas/seqs/12858.24BR.106.R1.fastq.gz
12858.24KC.105.R1	/mnt/datasets/project_2/hiseas/seqs/12858.24KC.105.R1.fastq.gz
12858.24MR.107.R1	/mnt/datasets/project_2/hiseas/seqs/12858.24MR.107.R1.fastq.gz
12858.24TB.104.R1	/mnt/datasets/project_2/hiseas/seqs/12858.24TB.104.R1.fastq.gz
12858.2ABR.15.R1	/mnt/datasets/project_2/hiseas/seqs/12858.2ABR.15.R1.fastq.gz
12858.2AKC.10.R1	/mnt/datasets/project_2/hiseas/seqs/12858.2AKC.10.R1.fastq.gz
12858.2AMR.12.R1	/mnt/datasets/project_2/hiseas/seqs/12858.2AMR.12.R1.fastq.gz
12858.2ATB.9.R1	/mnt/datasets/project_2/hiseas/seqs/12858.2ATB.9.R1.fastq.gz
12858.2BBR.11.R1	/mnt/datasets/project_2/hiseas/seqs/12858.2BBR.11.R1.fastq.gz
12858.2BKC.14.R1	/mnt/datasets/project_2/hiseas/seqs/12858.2BKC.14.R1.fastq.gz
12858.2BMR.16.R1	/mnt/datasets/project_2/hiseas/seqs/12858.2BMR.16.R1.fastq.gz
12858.2BTB.13.R1	/mnt/datasets/project_2/hiseas/seqs/12858.2BTB.13.R1.fastq.gz
12858.3BR.19.R1	/mnt/datasets/project_2/hiseas/seqs/12858.3BR.19.R1.fastq.gz
12858.3KC.18.R1	/mnt/datasets/project_2/hiseas/seqs/12858.3KC.18.R1.fastq.gz
12858.3MR.20.R1	/mnt/datasets/project_2/hiseas/seqs/12858.3MR.20.R1.fastq.gz
12858.3TB.17.R1	/mnt/datasets/project_2/hiseas/seqs/12858.3TB.17.R1.fastq.gz
12858.4BR.23.R1	/mnt/datasets/project_2/hiseas/seqs/12858.4BR.23.R1.fastq.gz
12858.4KC.22.R1	/mnt/datasets/project_2/hiseas/seqs/12858.4KC.22.R1.fastq.gz
12858.4MR.25.R1	/mnt/datasets/project_2/hiseas/seqs/12858.4MR.25.R1.fastq.gz
12858.4TB.21.R1	/mnt/datasets/project_2/hiseas/seqs/12858.4TB.21.R1.fastq.gz
12858.5BR.28.R1	/mnt/datasets/project_2/hiseas/seqs/12858.5BR.28.R1.fastq.gz
12858.5KC.27.R1	/mnt/datasets/project_2/hiseas/seqs/12858.5KC.27.R1.fastq.gz
12858.5MR.29.R1	/mnt/datasets/project_2/hiseas/seqs/12858.5MR.29.R1.fastq.gz
12858.5TB.26.R1	/mnt/datasets/project_2/hiseas/seqs/12858.5TB.26.R1.fastq.gz
12858.6BR.32.R1	/mnt/datasets/project_2/hiseas/seqs/12858.6BR.32.R1.fastq.gz
12858.6KC.31.R1	/mnt/datasets/project_2/hiseas/seqs/12858.6KC.31.R1.fastq.gz
12858.6MR.33.R1	/mnt/datasets/project_2/hiseas/seqs/12858.6MR.33.R1.fastq.gz
12858.6TB.30.R1	/mnt/datasets/project_2/hiseas/seqs/12858.6TB.30.R1.fastq.gz
12858.7BR.36.R1	/mnt/datasets/project_2/hiseas/seqs/12858.7BR.36.R1.fastq.gz
12858.7KC.35.R1	/mnt/datasets/project_2/hiseas/seqs/12858.7KC.35.R1.fastq.gz
12858.7MR.37.R1	/mnt/datasets/project_2/hiseas/seqs/12858.7MR.37.R1.fastq.gz
12858.7TB.34.R1	/mnt/datasets/project_2/hiseas/seqs/12858.7TB.34.R1.fastq.gz
12858.8BR.40.R1	/mnt/datasets/project_2/hiseas/seqs/12858.8BR.40.R1.fastq.gz
12858.8KC.39.R1	/mnt/datasets/project_2/hiseas/seqs/12858.8KC.39.R1.fastq.gz
12858.8MR.41.R1	/mnt/datasets/project_2/hiseas/seqs/12858.8MR.41.R1.fastq.gz
12858.8TB.38.R1	/mnt/datasets/project_2/hiseas/seqs/12858.8TB.38.R1.fastq.gz
12858.9BR.44.R1	/mnt/datasets/project_2/hiseas/seqs/12858.9BR.44.R1.fastq.gz
12858.9KC.43.R1	/mnt/datasets/project_2/hiseas/seqs/12858.9KC.43.R1.fastq.gz
12858.9MR.45.R1	/mnt/datasets/project_2/hiseas/seqs/12858.9MR.45.R1.fastq.gz
12858.9TB.42.R1	/mnt/datasets/project_2/hiseas/seqs/12858.9TB.42.R1.fastq.gz
12858.NC0.108.R1	/mnt/datasets/project_2/hiseas/seqs/12858.NC0.108.R1.fastq.gz
12858.NC11.110.R1	/mnt/datasets/project_2/hiseas/seqs/12858.NC11.110.R1.fastq.gz
12858.NC12.114.R1	/mnt/datasets/project_2/hiseas/seqs/12858.NC12.114.R1.fastq.gz
12858.NC17.111.R1	/mnt/datasets/project_2/hiseas/seqs/12858.NC17.111.R1.fastq.gz
12858.NC23.112.R1	/mnt/datasets/project_2/hiseas/seqs/12858.NC23.112.R1.fastq.gz
12858.NC5.109.R1	/mnt/datasets/project_2/hiseas/seqs/12858.NC5.109.R1.fastq.gz
12858.NC6.113.R1	/mnt/datasets/project_2/hiseas/seqs/12858.NC6.113.R1.fastq.gz
12858.PCRnc1.24.R1	/mnt/datasets/project_2/hiseas/seqs/12858.PCRnc1.24.R1.fastq.gz
12858.PCRnc2.48.R1	/mnt/datasets/project_2/hiseas/seqs/12858.PCRnc2.48.R1.fastq.gz
12858.PCRnc3.80.R1	/mnt/datasets/project_2/hiseas/seqs/12858.PCRnc3.80.R1.fastq.gz
12858.PCRnc4.115.R1	/mnt/datasets/project_2/hiseas/seqs/12858.PCRnc4.115.R1.fastq.gz
12858.W.PCR1.NC.R1	/mnt/datasets/project_2/hiseas/seqs/12858.W.PCR1.NC.R1.fastq.gz
12858.W.PCR2.NC.R1	/mnt/datasets/project_2/hiseas/seqs/12858.W.PCR2.NC.R1.fastq.gz
12858.W.PCR4.NC.R1	/mnt/datasets/project_2/hiseas/seqs/12858.W.PCR4.NC.R1.fastq.gz
12858.W.PCR5.NC.R1	/mnt/datasets/project_2/hiseas/seqs/12858.W.PCR5.NC.R1.fastq.gz
12858.Wipe.0.31.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.0.31.R1.fastq.gz
12858.Wipe.0.32.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.0.32.R1.fastq.gz
12858.Wipe.0.33.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.0.33.R1.fastq.gz
12858.Wipe.0.34.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.0.34.R1.fastq.gz
12858.Wipe.0.35.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.0.35.R1.fastq.gz
12858.Wipe.0.36.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.0.36.R1.fastq.gz
12858.Wipe.11.31.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.11.31.R1.fastq.gz
12858.Wipe.11.32.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.11.32.R1.fastq.gz
12858.Wipe.11.33.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.11.33.R1.fastq.gz
12858.Wipe.11.34.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.11.34.R1.fastq.gz
12858.Wipe.11.35.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.11.35.R1.fastq.gz
12858.Wipe.11.36.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.11.36.R1.fastq.gz
12858.Wipe.14.31.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.14.31.R1.fastq.gz
12858.Wipe.14.32.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.14.32.R1.fastq.gz
12858.Wipe.14.33.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.14.33.R1.fastq.gz
12858.Wipe.14.34.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.14.34.R1.fastq.gz
12858.Wipe.14.35.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.14.35.R1.fastq.gz
12858.Wipe.14.36.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.14.36.R1.fastq.gz
12858.Wipe.17.31.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.17.31.R1.fastq.gz
12858.Wipe.17.32.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.17.32.R1.fastq.gz
12858.Wipe.17.33.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.17.33.R1.fastq.gz
12858.Wipe.17.34.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.17.34.R1.fastq.gz
12858.Wipe.17.35.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.17.35.R1.fastq.gz
12858.Wipe.17.36.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.17.36.R1.fastq.gz
12858.Wipe.20.31.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.20.31.R1.fastq.gz
12858.Wipe.20.32.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.20.32.R1.fastq.gz
12858.Wipe.20.33.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.20.33.R1.fastq.gz
12858.Wipe.20.34.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.20.34.R1.fastq.gz
12858.Wipe.20.35.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.20.35.R1.fastq.gz
12858.Wipe.20.36.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.20.36.R1.fastq.gz
12858.Wipe.23.31.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.23.31.R1.fastq.gz
12858.Wipe.23.32.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.23.32.R1.fastq.gz
12858.Wipe.23.33.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.23.33.R1.fastq.gz
12858.Wipe.23.34.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.23.34.R1.fastq.gz
12858.Wipe.23.35.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.23.35.R1.fastq.gz
12858.Wipe.23.36.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.23.36.R1.fastq.gz
12858.Wipe.25.31.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.25.31.R1.fastq.gz
12858.Wipe.25.32.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.25.32.R1.fastq.gz
12858.Wipe.25.33.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.25.33.R1.fastq.gz
12858.Wipe.25.34.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.25.34.R1.fastq.gz
12858.Wipe.25.35.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.25.35.R1.fastq.gz
12858.Wipe.25.36.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.25.36.R1.fastq.gz
12858.Wipe.2B.31.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.2B.31.R1.fastq.gz
12858.Wipe.2B.32.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.2B.32.R1.fastq.gz
12858.Wipe.2B.33.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.2B.33.R1.fastq.gz
12858.Wipe.2B.34.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.2B.34.R1.fastq.gz
12858.Wipe.2B.35.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.2B.35.R1.fastq.gz
12858.Wipe.2B.36.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.2B.36.R1.fastq.gz
12858.Wipe.5.31.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.5.31.R1.fastq.gz
12858.Wipe.5.32.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.5.32.R1.fastq.gz
12858.Wipe.5.33.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.5.33.R1.fastq.gz
12858.Wipe.5.34.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.5.34.R1.fastq.gz
12858.Wipe.5.35.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.5.35.R1.fastq.gz
12858.Wipe.5.36.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.5.36.R1.fastq.gz
12858.Wipe.8.32.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.8.32.R1.fastq.gz
12858.Wipe.8.33.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.8.33.R1.fastq.gz
12858.Wipe.8.34.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.8.34.R1.fastq.gz
12858.Wipe.8.35.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.8.35.R1.fastq.gz
12858.Wipe.8.36.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.8.36.R1.fastq.gz
12858.Wipe.NC.0.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.NC.0.R1.fastq.gz
12858.Wipe.NC.17.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.NC.17.R1.fastq.gz
12858.Wipe.NC.8.R1	/mnt/datasets/project_2/hiseas/seqs/12858.Wipe.NC.8.R1.fastq.gz
